Gene	log2FoldChange	pvalue	padj_BH	padj_BO
ENSG00000276550.4_1	-1.16717070736633	7.76816356981309e-11	7.62110588210782e-09	1.54027147262254e-06
ENSG00000187123.15_5	-2.09780894982503	8.8880795814805e-11	8.66532208696964e-09	1.76232841941595e-06
ENSG00000103876.12_4	-1.30210381434212	9.91046885200126e-11	9.54280269273874e-09	1.96504776397481e-06
ENSG00000152527.14_6	-1.46693120435942	9.86867253698493e-11	9.54280269273874e-09	1.95676039063337e-06
ENSG00000169679.14_4	-0.68825363025422	1.04838285547818e-10	1.00329596089596e-08	2.07873352584214e-06
ENSG00000081014.11_4	0.778023085026776	1.09199367961946e-10	1.03865911026731e-08	2.16520506794946e-06
ENSG00000164023.14_3	-0.914236348362587	1.15715548966481e-10	1.09396778686554e-08	2.29440790490739e-06
ENSG00000087586.17_2	-0.76226583260718	1.30464334030847e-10	1.22597177502842e-08	2.58684681516364e-06
ENSG00000150593.18_5	0.739229682056207	1.32634403029342e-10	1.23890063045192e-08	2.62987494326579e-06
ENSG00000105974.12_5	-1.37990989588973	1.34365001541412e-10	1.24759503514553e-08	2.66418925056311e-06
ENSG00000052841.15_4	0.679538476778507	1.38743131757998e-10	1.28062373508462e-08	2.75099881649759e-06
ENSG00000197713.15_4	-0.895411492902655	1.52113691217316e-10	1.39577733488172e-08	3.01611026945695e-06
ENSG00000117595.12_6	-4.23247257463418	1.64650055240589e-10	1.50197439280582e-08	3.26468129531039e-06
ENSG00000115561.16_4	-0.949726959308672	1.9606730504033e-10	1.7781708670489e-08	3.88762252433966e-06
ENSG00000115112.8_3	-1.87841262157992	2.01482307294268e-10	1.81318363863168e-08	3.99499118903075e-06
ENSG00000186193.9_3	-1.00877607657729	2.02252678454973e-10	1.81318363863168e-08	4.01026610840521e-06
ENSG00000125813.13_2	-3.92989815306402	2.10055413705501e-10	1.85186208663529e-08	4.16497874295267e-06
ENSG00000131069.20_5	-1.02545796211094	2.10128591149718e-10	1.85186208663529e-08	4.16642970531662e-06
ENSG00000135917.15_5	-9.47793498734156	2.10070910917801e-10	1.85186208663529e-08	4.16528602167817e-06
ENSG00000156535.15_7	-5.40452911886232	2.24635250619782e-10	1.96858723281909e-08	4.45406774928904e-06
ENSG00000135269.18_4	-0.92433055504793	2.26207831781237e-10	1.97129383684666e-08	4.48524888855837e-06
ENSG00000130066.16_2	1.10227414615143	2.33563337998783e-10	2.01290304389117e-08	4.63109386583987e-06
ENSG00000204128.6_3	-2.46477239356816	2.33188804965303e-10	2.01290304389117e-08	4.62366762485202e-06
ENSG00000197121.15_3	-0.817105414266698	2.37913120104372e-10	2.03912459368577e-08	4.71734134542949e-06
ENSG00000140988.16_4	1.15768602005826	2.39506210504383e-10	2.04156140855622e-08	4.74892914188091e-06
ENSG00000115616.2_2	-4.0826912271749	2.55174627851732e-10	2.16329838035824e-08	5.05960252104414e-06
ENSG00000175063.17_3	-0.674173397772989	2.66375913559558e-10	2.24605290573813e-08	5.28170161405891e-06
ENSG00000147642.17_6	-1.11095120004337	3.50536053213624e-10	2.93979134090286e-08	6.95042886311975e-06
ENSG00000141198.16_6	-0.954900751578417	3.70739161598914e-10	3.09259902769062e-08	7.35101609618327e-06
ENSG00000153827.13_5	-0.573011673470187	3.78405688022878e-10	3.13976081248344e-08	7.50302798211763e-06
ENSG00000115694.15_4	-0.707047269088903	4.31426110186258e-10	3.56074914962722e-08	8.55431691277313e-06
ENSG00000128641.19_4	-0.584083031028913	4.82877120732416e-10	3.96442116121314e-08	9.57448754988235e-06
ENSG00000172819.17_5	-1.16152612231225	5.4576387899961e-10	4.45726217199734e-08	1.08214061928043e-05
ENSG00000151690.15_4	-3.25311125522663	5.78143378053417e-10	4.69711383034128e-08	1.14634269000432e-05
ENSG00000101265.16_3	-1.84788057106141	5.84396082767008e-10	4.72331320988733e-08	1.15874055291042e-05
ENSG00000122042.9_2	0.696342174568456	6.0346755879507e-10	4.85231466476511e-08	1.19655547557887e-05
ENSG00000124172.10_4	-0.677820096282805	7.15808864774448e-10	5.70535020271539e-08	1.41930581707478e-05
ENSG00000158711.13_2	-0.669862328683405	7.16872004444013e-10	5.70535020271539e-08	1.42141381041159e-05
